City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
196,haines junction,60.7522,-137.5108,265.45,99,94,1.47,CA,1674626987
197,krasnoselkup,65.7,82.4667,253.35,97,100,8.21,RU,1674626987
198,nikolskoye,59.7035,30.7861,273.1,93,100,4.57,RU,1674626987
199,hualmay,-11.0964,-77.6139,293.99,86,93,2.58,PE,1674626988
200,gat,31.61,34.7642,288.93,63,0,1.06,IL,1674626942
201,mount isa,-20.7333,139.5,305.02,45,100,5.14,AU,1674626988
202,suclayin,15.7568,121.5503,294.41,88,100,4.89,PH,1674626989
203,alexandria,31.2156,29.9553,289.03,67,0,3.53,EG,1674626989
204,umi,33.5667,130.5,274.65,39,75,3.6,JP,1674626989
205,kaduqli,11.0167,29.7167,297.71,32,86,6.58,SD,1674626990
206,bilma,18.6853,12.9164,292.21,14,3,3.11,NE,1674626990
207,rezekne,56.5,27.3167,271.47,95,100,4.35,LV,1674626990
208,kiruna,67.8557,20.2251,265.66,93,40,0.51,SE,1674626991
209,hami,42.8,93.45,263.91,30,1,1.03,CN,1674626991
210,inhambane,-23.865,35.3833,301.14,89,75,4.12,MZ,1674626991
211,astoria,46.1879,-123.8313,280.13,95,100,0.0,US,1674626992
212,mattru,7.6244,-11.8332,295.37,96,100,1.76,SL,1674626992
213,flin flon,54.7682,-101.865,253.61,99,92,1.87,CA,1674626992
214,caravelas,-17.7125,-39.2481,298.32,87,100,3.92,BR,1674626992
215,porto novo,6.4965,2.6036,297.69,93,50,1.45,BJ,1674626993
216,ribeira grande,38.5167,-28.7,287.47,90,10,1.79,PT,1674626993
217,dongsheng,39.8161,109.9776,265.14,18,94,8.62,CN,1674626993
218,broken hill,-31.95,141.4333,309.62,12,0,5.85,AU,1674626994
219,hirado,33.3597,129.5531,273.75,55,80,4.96,JP,1674626787
220,luderitz,-26.6481,15.1594,291.48,64,4,8.34,NA,1674626994
221,kahului,20.8947,-156.47,297.16,81,75,2.06,US,1674626994
222,savannah bight,16.45,-85.85,299.09,81,6,10.56,HN,1674626995
223,qaanaaq,77.484,-69.3632,258.01,65,87,4.33,GL,1674626995
224,maua,-23.6678,-46.4614,293.91,91,15,0.94,BR,1674626995
225,muravlenko,63.7898,74.523,259.53,95,100,6.08,RU,1674626996
226,rehoboth,-23.3167,17.0833,295.38,35,41,5.87,NA,1674626997
227,tautira,-17.7333,-149.15,300.06,83,77,7.0,PF,1674626997
228,belomorsk,64.5232,34.7668,273.96,97,100,8.38,RU,1674626997
229,isangel,-19.55,169.2667,305.21,66,75,2.06,VU,1674626997
230,preobrazheniye,42.9019,133.9064,260.28,53,15,8.02,RU,1674626998
231,bama,11.5221,13.6856,294.02,29,97,2.54,NG,1674626998
232,kurchum,48.5722,83.6542,255.95,92,96,0.98,KZ,1674626998
233,carnarvon,-24.8667,113.6333,302.88,58,2,8.72,AU,1674626999
234,lasa,46.6166,10.7002,273.16,72,83,1.36,IT,1674626999
235,beringovskiy,63.05,179.3167,248.29,94,83,5.93,RU,1674626999
236,furano,43.2818,142.4743,258.87,89,99,7.73,JP,1674627000
237,kasakh,40.537,44.4105,258.74,54,1,0.26,AM,1674627000
238,port hardy,50.6996,-127.4199,279.39,92,92,1.11,CA,1674627000
239,eureka,40.8021,-124.1637,280.51,93,55,0.45,US,1674627001
240,bilibino,68.0546,166.4372,246.73,71,100,2.08,RU,1674627001
241,amapa,1.0,-52.0,293.67,100,100,1.28,BR,1674627001
242,soure,-0.7167,-48.5233,296.44,95,100,3.27,BR,1674627002
243,webuye,0.6075,34.7697,295.37,44,100,5.2,KE,1674627002
